Handle,Title,Body HTML,Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Alt Text,SEO Title,SEO Description
石英质玉非洲翠手串,石英质玉非洲翠手串,"第一批商业 SEO 优化：石英质玉非洲翠手串，围绕 African Green Quartzite、natural green stone 和 stackable look。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,FBC-AGQ-005,138,https://example.com/first-batch/green-quartzite-bracelet.jpg,,,
石英质玉非洲翠百搭飘花手串发其一多样性发货,石英质玉非洲翠百搭飘花手串发其一多样性发货,"第一批商业 SEO 优化：百搭飘花石英质玉非洲翠手串，多样性发货，适合 gift jewelry 和 everyday jewelry。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,FBC-AGQ-006,158,https://example.com/first-batch/green-quartzite-versatile-bracelet.jpg,,,
非洲翠圆珠飘花耳坠,非洲翠圆珠飘花耳坠,"第一批商业 SEO 优化：非洲翠圆珠飘花耳坠，绿色石感日常耳饰，避免 jadeite jade 材质误导。",Mandala Jewels,Earrings,"African Green Quartzite, Earrings, Natural Green Stone",ACTIVE,FBC-AGQ-007,86,https://example.com/first-batch/african-green-quartzite-drop-earrings.jpg,,,
石英质玉非洲翠飘花平安扣耳坠,石英质玉非洲翠飘花平安扣耳坠,"第一批商业 SEO 优化：石英质玉非洲翠飘花平安扣耳坠，适合 natural green stone earrings 和 gift jewelry。",Mandala Jewels,Earrings,"African Green Quartzite, Earrings, Green Stone Jewelry",ACTIVE,FBC-AGQ-008,98,https://example.com/first-batch/green-quartzite-peace-buckle-earrings.jpg,,,
石英质玉非洲翠飘花银耳钉,石英质玉非洲翠飘花银耳钉,"第一批商业 SEO 优化：石英质玉非洲翠飘花银耳钉，适合 minimal styling、everyday jewelry 和 gift jewelry。",Mandala Jewels,Earrings,"African Green Quartzite, Earrings, Minimal Jewelry",ACTIVE,FBC-AGQ-009,72,https://example.com/first-batch/green-quartzite-stud-earrings.jpg,,,
非洲翠平安扣飘花吊坠,非洲翠平安扣飘花吊坠,"第一批商业 SEO 优化：非洲翠平安扣飘花吊坠，绿色石感项链吊坠，避免 jadeite jade 表述。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",ACTIVE,FBC-AGQ-010,132,https://example.com/first-batch/african-green-quartzite-peace-buckle-pendant.jpg,,,
石英质玉非洲翠飘花珠子合金项链款1,石英质玉非洲翠飘花珠子合金项链款1,"第一批商业 SEO 优化：石英质玉非洲翠飘花珠子合金项链，适合 everyday necklace、gift jewelry 和 minimal styling。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Natural Green Stone",ACTIVE,FBC-AGQ-011,126,https://example.com/first-batch/green-quartzite-bead-necklace.jpg,,,
石英质玉非洲翠合金圆珠吊坠,石英质玉非洲翠合金圆珠吊坠,"第一批商业 SEO 优化：石英质玉非洲翠合金圆珠吊坠，围绕 natural green stone necklace 和 gift jewelry。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",ACTIVE,FBC-AGQ-012,116,https://example.com/first-batch/green-quartzite-round-bead-pendant.jpg,,,
非洲翠无事牌吊坠,非洲翠无事牌吊坠,"第一批商业 SEO 优化：非洲翠无事牌吊坠，绿色石感极简项链吊坠，避免 jadeite jade 材质误导。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Minimal Jewelry",ACTIVE,FBC-AGQ-013,148,https://example.com/first-batch/african-green-quartzite-tablet-pendant.jpg,,,
石英质玉非洲翠戒圈-1,石英质玉非洲翠戒圈-1,"第一批商业 SEO 优化：石英质玉非洲翠戒圈，适合 minimal green stone jewelry 和 everyday styling。",Mandala Jewels,Ring,"African Green Quartzite, Ring, Minimal Jewelry",ACTIVE,FBC-AGQ-014,96,https://example.com/first-batch/green-quartzite-ring.jpg,,,
