Asset ID,Asset Type,Platform,Product Handle,Product Title,Content Angle,Prompt Summary,Generated Asset Path,Review Status,Compliance Check,Notes
IMG-0031,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0032,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0033,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled wit",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0034,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0035,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0036,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0037,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0038,Instagram Lifestyle Image,Instagram,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled wit",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0039,Instagram Lifestyle Image,Instagram,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0040,Product Reference Still,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0041,Product Reference Still,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, st",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0042,Product Reference Still,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0043,Product Reference Still,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled w",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0044,Product Reference Still,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0045,Product Reference Still,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, st",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0046,Pinterest Pin Image,Pinterest,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, style",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0047,Pinterest Pin Image,Pinterest,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled w",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0048,Pinterest Pin Image,Pinterest,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0049,Pinterest Pin Image,Pinterest,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, st",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0050,Pinterest Pin Image,Pinterest,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0051,Instagram Lifestyle Image,Instagram,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, style",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0052,Instagram Lifestyle Image,Instagram,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled w",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0053,Product Reference Still,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0054,Product Reference Still,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, style",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0055,Product Reference Still,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0056,Product Reference Still,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0057,Product Reference Still,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0058,Product Reference Still,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, style",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0059,Pinterest Pin Image,Pinterest,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, st",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0060,Pinterest Pin Image,Pinterest,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0061,Pinterest Pin Image,Pinterest,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0062,Pinterest Pin Image,Pinterest,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, style",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0063,Pinterest Pin Image,Pinterest,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0064,Instagram Lifestyle Image,Instagram,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, st",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0065,Instagram Lifestyle Image,Instagram,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0066,Product Reference Still,TikTok/Reels,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as purple bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0067,Product Reference Still,TikTok/Reels,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as gift for her, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0068,Product Reference Still,TikTok/Reels,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as outfit detail, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0069,Product Reference Still,YouTube Shorts,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as everyday jewelry, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0070,Product Reference Still,YouTube Shorts,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as purple bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0071,Product Reference Still,YouTube Shorts,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as gift for her, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0072,Pinterest Pin Image,Pinterest,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet as stackable bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
