Handle,Command,Focus Category,Priority,Original Title,Original Type,Original Tags,Original SEO Title,Original SEO Description,Variant SKU,Variant Price,Image Src,Recommended Title,Recommended SEO Title,Recommended SEO Description,Recommended Product Type,Recommended Tags,Recommended Image Alt Text,Collection Candidates,Listing Recommendation,Compliance Notes
石英质玉非洲翠手串,UPDATE,African Green Quartzite,High,石英质玉非洲翠手串,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,FBC-AGQ-005,138,https://example.com/first-batch/green-quartzite-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠百搭飘花手串发其一多样性发货,UPDATE,African Green Quartzite,High,石英质玉非洲翠百搭飘花手串发其一多样性发货,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,FBC-AGQ-006,158,https://example.com/first-batch/green-quartzite-versatile-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
非洲翠圆珠飘花耳坠,UPDATE,African Green Quartzite,Medium,非洲翠圆珠飘花耳坠,Earrings,"African Green Quartzite, Earrings, Natural Green Stone",,,FBC-AGQ-007,86,https://example.com/first-batch/african-green-quartzite-drop-earrings.jpg,African Green Quartzite Drop Earrings | Natural Green Stone Jewelry,African Green Quartzite Drop Earrings - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Earrings,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Earrings",African Green Quartzite Drop Earrings by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠飘花平安扣耳坠,UPDATE,African Green Quartzite,Medium,石英质玉非洲翠飘花平安扣耳坠,Earrings,"African Green Quartzite, Earrings, Green Stone Jewelry",,,FBC-AGQ-008,98,https://example.com/first-batch/green-quartzite-peace-buckle-earrings.jpg,African Green Quartzite Peace Buckle Earrings | Natural Green Stone Jewelry,African Green Quartzite Peace Buckle Earrings - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Earrings,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Earrings",African Green Quartzite Peace Buckle Earrings by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠飘花银耳钉,UPDATE,African Green Quartzite,Medium,石英质玉非洲翠飘花银耳钉,Earrings,"African Green Quartzite, Earrings, Minimal Jewelry",,,FBC-AGQ-009,72,https://example.com/first-batch/green-quartzite-stud-earrings.jpg,African Green Quartzite Stud Earrings | Natural Green Stone Jewelry,African Green Quartzite Stud Earrings - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Earrings,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Earrings",African Green Quartzite Stud Earrings by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
非洲翠平安扣飘花吊坠,UPDATE,African Green Quartzite,Medium,非洲翠平安扣飘花吊坠,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",,,FBC-AGQ-010,132,https://example.com/first-batch/african-green-quartzite-peace-buckle-pendant.jpg,African Green Quartzite Peace Buckle Pendant | Natural Green Stone Necklace,African Green Quartzite Peace Buckle Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Peace Buckle Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠飘花珠子合金项链款1,UPDATE,African Green Quartzite,Medium,石英质玉非洲翠飘花珠子合金项链款1,Necklace,"African Green Quartzite, Pendant Necklace, Natural Green Stone",,,FBC-AGQ-011,126,https://example.com/first-batch/green-quartzite-bead-necklace.jpg,African Green Quartzite Pendant | Natural Green Stone Necklace,African Green Quartzite Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠合金圆珠吊坠,UPDATE,African Green Quartzite,Medium,石英质玉非洲翠合金圆珠吊坠,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",,,FBC-AGQ-012,116,https://example.com/first-batch/green-quartzite-round-bead-pendant.jpg,African Green Quartzite Round Bead Pendant | Natural Green Stone Necklace,African Green Quartzite Round Bead Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Round Bead Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
非洲翠无事牌吊坠,UPDATE,African Green Quartzite,Medium,非洲翠无事牌吊坠,Necklace,"African Green Quartzite, Pendant Necklace, Minimal Jewelry",,,FBC-AGQ-013,148,https://example.com/first-batch/african-green-quartzite-tablet-pendant.jpg,African Green Quartzite Tablet Pendant | Minimal Green Stone Necklace,African Green Quartzite Tablet Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Tablet Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠戒圈-1,UPDATE,African Green Quartzite,Medium,石英质玉非洲翠戒圈-1,Ring,"African Green Quartzite, Ring, Minimal Jewelry",,,FBC-AGQ-014,96,https://example.com/first-batch/green-quartzite-ring.jpg,African Green Quartzite Ring | Minimal Green Stone Jewelry,African Green Quartzite Ring - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Ring,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Ring",African Green Quartzite Ring by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
