Job ID,Source Date,Platform,Product Handle,Product Title,Content Angle,Asset Type,Aspect Ratio,Duration Seconds,Video Prompt,Shot List,On-screen Text,Voiceover,Model Suggestion,Status
VID-0011,2026-06-15,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0012,2026-06-16,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0013,2026-06-24,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0014,2026-06-25,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0015,2026-06-26,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0016,2026-06-27,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0017,2026-05-29,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0018,2026-05-30,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0019,2026-06-07,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0020,2026-06-08,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0021,2026-06-09,TikTok/Reels,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0022,2026-06-10,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0023,2026-06-11,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0024,2026-06-12,YouTube Shorts,twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Twilight Purple Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0025,2026-06-20,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0026,2026-06-21,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0027,2026-06-22,TikTok/Reels,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0028,2026-06-23,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0029,2026-06-24,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0030,2026-06-25,YouTube Shorts,soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0031,2026-06-03,TikTok/Reels,moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
